# Graph Type: undirected
A	B
HSPA9	CHD4
HSPD1	CHD4
IK	CHD4
ILF2	CHD4
ILF3	CHD4
EIF6	CHD4
JUP	CHD4
KPNA2	CHD4
KRT2	CHD4
KRT10	CHD4
KRT18	CHD4
LIG3	CHD4
CAPRIN1	CHD4
MB	CHD4
MCM3	CHD4
MCM6	CHD4
MFAP1	CHD4
MIF	CHD4
MKI67	CHD4
KMT2A	CHD4
MYH9	CHD4
MYH10	CHD4
MYL6	CHD4
HNRNPM	CHD4
RPL10A	CHD4
SNU13	CHD4
NOP2	CHD4
CHD4	NONO
NPM1	CHD4
CHD4	NUMA1
CHD4	PCBP2
PHB	CHD4
SLC25A3	CHD4
EXOSC10	CHD4
CHD4	PNN
PPP1CB	CHD4
PPP1CC	CHD4
PRKDC	CHD4
PTBP1	CHD4
RFC1	CHD4
BRD2	CHD4
RPL3	CHD4
RPL6	CHD4
RPL7	CHD4
RPL8	CHD4
RPL9	CHD4
RPL11	CHD4
RPL12	CHD4
RPL15	CHD4
RPL18	CHD4
RPL19	CHD4
RPL22	CHD4
RPL23A	CHD4
RPL24	CHD4
RPL27	CHD4
RPL30	CHD4
RPL27A	CHD4
RPL31	CHD4
RPLP0	CHD4
RPLP1	CHD4
RPLP2	CHD4
RPN1	CHD4
RPS2	CHD4
RPS3	CHD4
RPS4X	CHD4
RPS5	CHD4
RPS6	CHD4
RPS7	CHD4
RPS9	CHD4
RPS10	CHD4
RPS11	CHD4
RPS12	CHD4
RPS14	CHD4
RPS15	CHD4
RPS15A	CHD4
RPS16	CHD4
RPS17	CHD4
RPS18	CHD4
RPS19	CHD4
RPS24	CHD4
RPS25	CHD4
RPS27	CHD4
RPS27A	CHD4
S100A8	CHD4
CHD4	SAFB
SFPQ	CHD4
SRSF1	CHD4
SRSF3	CHD4
SRSF5	CHD4
SRSF6	CHD4
CHD4	SRSF7
SFSWAP	CHD4
TRA2B	CHD4
CHD4	SMARCC2
SNRNP70	CHD4
SNRPA1	CHD4
SNRPD2	CHD4
SNRPD3	CHD4
SNRPF	CHD4
CHD4	SRP68
CHD4	SRPK1
SSRP1	CHD4
STAU1	CHD4
SUPT5H	CHD4
CHD4	SUPT6H
ELOA	CHD4
TCOF1	CHD4
TMPO	CHD4
TOP1	CHD4
TOP2B	CHD4
TPR	CHD4
TXN	CHD4
VDAC1	CHD4
VDAC2	CHD4
VIM	CHD4
XRCC5	CHD4
ZKSCAN1	CHD4
CHD4	TUBA1A
RAB7A	CHD4
DEK	CHD4
CHD4	TAF15
COIL	CHD4
SMC1A	CHD4
ARID1A	CHD4
SMARCA5	CHD4
CHD4	API5
RRP1	CHD4
NOP14	CHD4
CHD4	RUVBL1
EIF3A	CHD4
EIF3B	CHD4
EIF3D	CHD4
EIF3F	CHD4
PABPC4	CHD4
IQGAP1	CHD4
CHD4	DDX18
PRPF4B	CHD4
CHD4	MBD2
CHD4	H1-10
CHD4	BAZ1B
RPL14	CHD4
SART1	CHD4
CHD4	SMC3
PRPF4	CHD4
PRPF3	CHD4
CHD4	SCAF11
CHD4	DDX21
CHD4	DDX23
FXR2	CHD4
RBM39	CHD4
CHD4	ZNF592
CHD4	CTR9
MDC1	CHD4
CHD4	BCLAF1
EIF4A3	CHD4
BMS1	CHD4
CHD4	DDX46
ZBTB5	CHD4
CHD4	PUM3
CHD4	THRAP3
HNRNPDL	CHD4
G3BP1	CHD4
CHD4	SUGP2
TRIM28	CHD4
RBM5	CHD4
DDX39A	CHD4
HNRNPR	CHD4
AKAP8	CHD4
SAP18	CHD4
BCAS2	CHD4
CHD4	SF3A1
TUBA1B	CHD4
TUBB4B	CHD4
CD2BP2	CHD4
SYNCRIP	CHD4
CHD4	MYBBP1A
CHD4	DDX17
CHD4	CHERP
SLU7	CHD4
CHD4	PRPF8
TBL3	CHD4
KHDRBS1	CHD4
RNF4	MORF4L2
RNF4	MORF4L1
CHD4	UTP14A
RNF4	MORC3
CHD4	WDR3
RNF4	MOGS
SF3A3	CHD4
RNF4	MNT
HNRNPA0	CHD4
RNF4	MMTAG2
AFDN	RNF4
CHD4	EBNA1BP2
RNF4	MLEC
SF3B2	CHD4
CHD4	DDX52
MKI67	RNF4
KRR1	CHD4
KAT7	CHD4
MICAL2	RNF4
PSIP1	CHD4
RNF4	MIA3
CHD4	SUPT16H
MGST3	RNF4
RPL35	CHD4
MGST1	RNF4
RNF4	MGAT2
CHD4	DDX42
MGAT1	RNF4
CHD4	PHB2
RNF4	MGA
RNF4	MFSD10
U2AF2	CHD4
MFN2	RNF4
CHD4	XRN2
RNF4	MFN1
CHD4	PUF60
RNF4	METTL7B
CHD4	DHX30
RNF4	METTL7A
RNF4	METAP1D
PDCD11	CHD4
RNF4	MEPCE
RNF4	MED23
CHD4	ACIN1
CHD4	SPEN
RNF4	MED16
SNRNP200	CHD4
RRP1B	CHD4
CHD4	MDN1
CHD4	PRRC2C
CHD4	RRP12
U2SURP	CHD4
CHD4	FNBP4
CHD4	LARP1
CHD4	ADNP
CHD4	SF3B3
SF3B1	CHD4
MTREX	CHD4
CHD4	SRRM2
CHD4	GTPBP4
CHD4	PATZ1
CHD4	TFIP11
PRPF6	CHD4
CHD4	VIRMA
CHD4	CHTOP
CHD4	PRPF31
CHD4	SERBP1
CHD4	NOC2L
RSL1D1	CHD4
PABPC1	CHD4
CHD4	AKAP8L
CHD4	ZNF638
HTATSF1	CHD4
CHD4	PRPF19
GNL2	CHD4
CHD4	RBM15B
CHD4	HP1BP3
CHD4	UTP18
CHD4	DDX47
CHD4	EIF3L
CHD4	DDX41
CHD4	LARP7
CHD4	SRRT
CHD4	NOP58
CHD4	LUC7L2
CHD4	SF3B6
CHD4	ZFR
CHD4	WBP11
LUC7L3	CHD4
CHD4	CPSF2
CHD4	GNL3L
CHD4	DDX56
CHD4	PAF1
CHD4	RBM28
CHD4	SDAD1
CHD4	ATAD3A
CHD4	NAT10
CHD4	STRBP
CHD4	NCBP3
CHD4	ZCCHC8
CHD4	LYAR
PRPF40A	CHD4
CHD4	DDX27
CHD4	IWS1
CHD4	TSR1
CHD4	CCAR1
NKRF	CHD4
YLPM1	CHD4
CHD4	ZC3HAV1
CHD4	PNO1
CHD4	XAB2
CHD4	DDX24
CHD4	ZNF512B
CHD4	NUFIP2
CHD4	BEND3
CHD4	DDX55
CHD4	NCOA5
RBM25	CHD4
CHD4	NOC3L
CHD4	NOM1
CHD4	RBM15
CHD4	DDX50
CHD4	DDX54
CHD4	CDC73
CHD4	NOL9
CHD4	NOL10
CHD4	FIP1L1
CHD4	LAS1L
CHD4	ATAD3B
CHD4	POLDIP3
CHD4	C7orf50
CHD4	NIFK
CHD4	ZNF512
CHD4	GLYR1
CHD4	HDGFL2
CHD4	RBM17
H2BC12	CHD4
CHD4	ZNF622
CHD4	MTDH
CHD4	PAXBP1
CHD4	FTSJ3
CHD4	LEO1
CHD4	ZC3H18
CHD4	WDR36
CHD4	CENPV
TUBB	CHD4
HNRNPA3	CHD4
CHD4	HNRNPUL2
CHD4	LCORL
CHD4	ZNF326
CHD4	KNOP1
CHD4	RBM14
U2AF1	CHD4
RNF4	MED12
RNF4	MCU
MCM7	RNF4
RNF4	MCAT
MCAM	RNF4
RNF4	MBOAT7
MAZ	RNF4
MARS1	RNF4
RNF4	MARCHF5
MAN1A2	RNF4
MAN1A1	RNF4
RNF4	MAGT1
RNF4	MAGED1
MAF	RNF4
M6PR	RNF4
LSS	RNF4
RNF4	LSG1
RNF4	LRRC59
LRPAP1	RNF4
RNF4	LRP1
RNF4	LRCH1
RNF4	LPGAT1
RNF4	LPCAT4
RNF4	LOXL4
RNF4	LNPK
LMNA	RNF4
RNF4	LMF2
RNF4	LMAN2L
RNF4	LMAN2
LMAN1	RNF4
RNF4	LIMD1
LGALS1	RNF4
LETM1	RNF4
RNF4	LEMD3
RNF4	LEMD2
LDLR	RNF4
RNF4	LCLAT1
RNF4	LBR
LANCL1	RNF4
LAMP2	RNF4
LAMP1	RNF4
LAMC1	RNF4
LAMB2	RNF4
RNF4	KTN1
KRT2	RNF4
KRT18	RNF4
RNF4	KPNB1
RNF4	KMT2E
RNF4	KIFAP3
RNF4	VIRMA
RNF4	WASHC4
RNF4	WASHC5
RNF4	PCLAF
RNF4	KCT2
JUP	RNF4
RNF4	JMJD1C
RNF4	JAM3
RNF4	JAGN1
RNF4	ITPRIP
ITGB5	RNF4
ITGB1	RNF4
ITGAV	RNF4
ITGA6	RNF4
ITGA5	RNF4
RNF4	FAM234A
RNF4	ITFG1
RNF4	IQSEC1
RNF4	IPO9
IPO8	RNF4
IPO7	RNF4
IPO5	RNF4
RNF4	INTS8
RNF4	INTS5
RNF4	INTS3
RNF4	INTS1
RNF4	ING3
IMPDH2	RNF4
ILVBL	RNF4
RNF4	ILF2
RNF4	IL17RA
RNF4	IGSF8
IGSF3	RNF4
IGF2R	RNF4
IGF1R	RNF4
RNF4	IFI16
ICMT	RNF4
IARS1	RNF4
HSPD1	RNF4
HSPB1	RNF4
HSPA9	RNF4
HSPA5	RNF4
HSP90B1	RNF4
HSP90AB1	RNF4
RNF4	HSDL1
RNF4	HSD17B12
RNF4	HSD17B11
RNF4	HP1BP3
RNF4	HNRNPU
HNRNPR	RNF4
HNRNPM	RNF4
HNRNPH3	RNF4
HNRNPF	RNF4
RNF4	HNRNPD
HNRNPC	RNF4
HNRNPA3	RNF4
HNRNPA2B1	RNF4
HNRNPA1	RNF4
HMOX2	RNF4
HMOX1	RNF4
HMGB1	RNF4
RNF4	HM13
HLA-C	RNF4
H1-2	RNF4
RNF4	HINT2
HINT1	RNF4
RNF4	HIF1A
RNF4	HERPUD1
RNF4	HERC4
RNF4	HEATR1
HCFC1	RNF4
HAT1	RNF4
RNF4	HAGH
RNF4	HACD3
H2AZ1	RNF4
MACROH2A1	RNF4
RNF4	H1-10
H1-0	RNF4
RNF4	GZF1
RNF4	GTF3C4
RNF4	GTF3C3
GTF2A1	RNF4
RNF4	GSE1
GRN	RNF4
RNF4	GRAMD1A
GPI	RNF4
GPC1	RNF4
RNF4	GPATCH8
GPAA1	RNF4
GOSR2	RNF4
RNF4	GOLT1B
GOLIM4	RNF4
RNF4	GOLGB1
RNF4	GOLGA7
RNF4	GOLGA5
GNPAT	RNF4
RNF4	GNAS
GNAI3	RNF4
GLIPR1	RNF4
GLI3	RNF4
GLI2	RNF4
RNF4	GLG1
RNF4	GLE1
RNF4	GHITM
RNF4	GHDC
GGCX	RNF4
RNF4	GEMIN5
RNF4	GDE1
RNF4	GBF1
GATA3	RNF4
RNF4	GAPVD1
GAPDH	RNF4
RNF4	GANAB
RNF4	GALNT7
RNF4	GALNT2
RNF4	FUT8
RNF4	FOXJ2
RNF4	FNDC3B
RNF4	FNDC3A
RNF4	FLYWCH1
RNF4	FLOT2
FLOT1	RNF4
RNF4	FLNC
FLNA	RNF4
RNF4	FHOD1
FDFT1	RNF4
RNF4	FBXO11
RNF4	FBRS
FBL	RNF4
RNF4	FASTKD5
RNF4	FASTKD2
FASN	RNF4
RNF4	FAR1
RNF4	FAM76B
RNF4	CYRIB
RNF4	FAM3C
FAM20B	RNF4
RNF4	RETREG3
RNF4	FAM111A
RNF4	FAF2
FADS2	RNF4
RNF4	FABP5
RNF4	EXT2
RNF4	EXOC8
RNF4	EXOC4
ESYT2	RNF4
RNF4	ESYT1
ERLIN1	RNF4
RNF4	ERGIC3
RNF4	ERGIC2
RNF4	ERGIC1
RNF4	ERCC4
RNF4	EPM2AIP1
EPHX1	RNF4
ENO1	RNF4
ENDOD1	RNF4
EMD	RNF4
LARP7	SMC4
LARP7	RBM14
ACTR1A	LARP7
CEBPZ	LARP7
LARP7	SLC25A13
LARP7	MRPS31
SF3B4	LARP7
U2AF1	LARP7
SF3A1	LARP7
TUBA1B	LARP7
TUBB4B	LARP7
CCT4	LARP7
LARP7	PRPF8
KHDRBS1	LARP7
LARP7	NCKAP1
LARP7	RUVBL2
LARP7	MRPS30
LARP7	EBNA1BP2
KRR1	LARP7
PWP1	LARP7
LSM6	LARP7
LARP7	ATXN2L
LARP7	FTSJ3
CLTB	LARP7
CLTC	LARP7
LSM12	LARP7
CSNK2A2	LARP7
CSNK2B	LARP7
DDX5	LARP7
DDX6	LARP7
DHX9	LARP7
DHX15	LARP7
DLD	LARP7
DYNC1H1	LARP7
DYNC1I2	LARP7
DSP	LARP7
EEF1A1	LARP7
EMD	LARP7
LARP7	CENPV
ENO1	LARP7
TUBB	LARP7
EPRS1	LARP7
LARP7	MRPL21
LARP7	XRN2
LARP7	DHX30
NCBP2	LARP7
RRP1B	LARP7
LARP7	MRPS27
LARP7	CYFIP1
LARP7	DNAJC9
LARP7	UBR4
SF3B3	LARP7
SF3B1	LARP7
LARP7	LSM4
LARP7	RPL36
LARP7	SERBP1
RSL1D1	LARP7
GART	LARP7
PHGDH	LARP7
LSM3	LARP7
SLC25A6	LARP7
H1-2	LARP7
HNRNPF	LARP7
HNRNPU	LARP7
HSP90AB1	LARP7
HSPE1	LARP7
MCRIP1	LARP7
KPNA1	LARP7
KPNB1	LARP7
KPNA2	LARP7
KPNA3	LARP7
KPNA4	LARP7
KRT2	LARP7
LBR	LARP7
LGALS3BP	LARP7
MYO1B	LARP7
NCL	LARP7
RPL10A	LARP7
NPM1	LARP7
ATP2A2	LARP7
YBX1	LARP7
OGDH	LARP7
LARP7	HP1BP3
ATP5F1C	LARP7
PCBP1	LARP7
LARP7	RPL26L1
ATP5F1D	LARP7
LARP7	HACD3
LARP7	LARS1
LARP7	NOP58
LARP7	MRPS23
LARP7	LSM7
LARP7	PHAX
PFN1	LARP7
PHB	LARP7
PLOD1	LARP7
LARP7	GAR1
LARP7	PTCD3
LARP7	RBM28
MRPS10	LARP7
LARP7	NAT10
TSR1	LARP7
NKRF	LARP7
LARP7	ZC3HAV1
LARP7	MCCC1
MRPS22	LARP7
PSMC4	LARP7
LARP7	MRPL47
LARP7	NUFIP2
LARP7	LSM2
LARP7	PURB
QARS1	LARP7
RARS1	LARP7
RCN2	LARP7
MRPS35	LARP7
RPL8	LARP7
RPL11	LARP7
RPL15	LARP7
RPL23A	LARP7
RPL27	LARP7
RPL29	LARP7
RPL31	LARP7
RPL34	LARP7
RPL37	LARP7
RPL37A	LARP7
RPLP0	LARP7
RPLP1	LARP7
RPLP2	LARP7
MRPL12	LARP7
RPS4X	LARP7
RPS6	LARP7
RPS7	LARP7
RPS11	LARP7
RPS17	LARP7
RPS18	LARP7
RPS21	LARP7
RPS25	LARP7
RPS28	LARP7
LARP7	MCCC2
SET	LARP7
SRSF4	LARP7
SRSF6	LARP7
SRSF7	LARP7
INF2	LARP7
MRPS25	LARP7
LARP7	MRPS26
MRPS6	LARP7
LARP7	MRPL38
LARP7	MRPL11
LARP7	MRPL44
SLC25A1	LARP7
MRPS34	LARP7
LARP7	SMARCC2
SNRPA1	LARP7
SNRPB2	LARP7
SNRPD2	LARP7
SNRPD3	LARP7
SRP9	LARP7
RO60	LARP7
SSBP1	LARP7
STAU1	LARP7
TP53	LARP7
MRPL49	LARP7
VCP	LARP7
VIM	LARP7
XRCC5	LARP7
TRIM26	LARP7
DAP3	LARP7
LARP7	DDX54
LARP7	MRPL24
AIMP2	LARP7
LARP7	RIOX1
LARP7	GRPEL1
COIL	LARP7
SF3A2	LARP7
LARP7	POLDIP3
LARP7	TUBB6
LARP7	TUBA1C
LARP7	ATP5MD
LARP7	LTV1
YBX3	LARP7
LARP7	RUVBL1
LARP7	DDX18
LARP7	H1-10
PRPF3	LARP7
AIFM1	LARP7
LARP7	DDX21
NOLC1	LARP7
TRIP13	LARP7
EFTUD2	LARP7
LARP7	DDX23
RBM39	LARP7
EIF4A3	LARP7
PUM3	LARP7
NUP153	LARP7
ERCC6	ELOA
ERCC6	CUL5
TNF	TRAF3
TNF	TRAF6
TNF	IKBKE
TNF	TAB3
TNF	TANK
TNF	TNIP2
HTRA2	TNF
RBCK1	SPATA2
TNIP1	SPATA2
TNFRSF1A	SPATA2
IKBKB	SPATA2
CHUK	SPATA2
TRADD	SPATA2
SPATA2	IKBKG
TAB1	SPATA2
EMC8	RNF4
RNF4	EMC6
RNF4	EMC4
RNF4	EMC3
RNF4	ELOVL1
RNF4	ELMOD2
RNF4	EIF4G1
RNF4	EIF3L
RNF4	EIF3I
EIF3E	RNF4
EI24	RNF4
RNF4	EFTUD2
EEF2	RNF4
EEF1D	RNF4
RNF4	EBP
RNF4	EBNA1BP2
RNF4	DYRK1A
DUSP11	RNF4
RNF4	DTX3L
DSP	RNF4
RNF4	DPY19L1
RNF4	DOCK7
RNF4	DNTTIP2
DNAJC13	RNF4
RNF4	DNAJC10
RNF4	DNAJC1
DNAJB2	RNF4
RNF4	DNAJB12
RNF4	NPTN
RNF4	DHX9
DHX15	RNF4
RNF4	DHRS7
DHFR	RNF4
RNF4	DHCR7
RNF4	DHCR24
RNF4	DERL1
DEGS1	RNF4
DDX5	RNF4
RNF4	DDX42
RNF4	DDRGK1
RNF4	DDR2
DDOST	RNF4
RNF4	DDB2
RNF4	DCAF13
RNF4	DAG1
DAD1	RNF4
RNF4	CYFIP2
RNF4	CYFIP1
RNF4	CYCS
CYC1	RNF4
CYB5R3	RNF4
CYB5B	RNF4
CYB5A	RNF4
CXADR	RNF4
CTSC	RNF4
CTCF	RNF4
CSE1L	RNF4
RNF4	CRELD1
RNF4	CREB5
RNF4	CPSF7
CPD	RNF4
COX6A1	RNF4
COX4I1	RNF4
RNF4	COX15
COPZ1	RNF4
COPB1	RNF4
COMT	RNF4
RNF4	CNTNAP1
CNOT1	RNF4
RNF4	CNEP1R1
RNF4	CMC2
CLUH	RNF4
RNF4	CLTC
RNF4	CLPTM1L
CLPTM1	RNF4
CLK1	RNF4
RNF4	CLCC1
RNF4	CLASP1
RNF4	CKAP5
RNF4	CKAP4
RNF4	CITED2
RNF4	UTP4
RNF4	CHERP
RNF4	CHD8
RNF4	CHD4
CHD1	RNF4
RNF4	CHAMP1
RNF4	CERS2
RNF4	CENPC
RNF4	CEBPZ
CDKN1A	RNF4
RNF4	CDK12
CDIPT	RNF4
CDC42	RNF4
CD9	RNF4
CD81	RNF4
CD59	RNF4
RNF4	CD47
CD46	RNF4
CD44	RNF4
CD40	RNF4
RNF4	CD276
CD151	RNF4
RNF4	CCSER2
RNF4	CCNY
CCNT2	RNF4
CCNT1	RNF4
RNF4	CCNL1
RNF4	CCDC50
RNF4	MCUB
CBX5	RNF4
CBX4	RNF4
RNF4	CBX3
RNF4	CBX1
CBL	RNF4
RNF4	CAV1
CAT	RNF4
RNF4	GOLM2
CANX	RNF4
CAMLG	RNF4
RNF4	CAMK2G
CALR	RNF4
RNF4	CADM1
CA12	RNF4
RNF4	C6orf89
RNF4	C6orf120
RNF4	FAM241A
RNF4	NEPRO
RNF4	MAIP1
RNF4	C20orf27
RNF4	C1orf43
RNF4	CYBC1
RNF4	VPS35L
RNF4	RUSF1
BSG	RNF4
BRD4	RNF4
RNF4	BRAT1
RNF4	BNIP1
RNF4	BMP2K
BLM	RNF4
BET1	RNF4
TNF	ALYREF
TNF	TUBA1B
TNF	TUBB4A
TNF	TUBB4B
SYNCRIP	TNF
TNF	DDX17
TNF	LACTB
TNF	AP2S1
TNF	CLTC
TNF	COPA
TNF	MYL6B
TNF	AP2B1
DDX3X	TNF
TNF	DDX5
TNF	NQO1
TNF	EEF1A1
TNF	EEF2
TNF	TNRC6B
TNF	FLII
TNF	MPRIP
TNF	FUS
TNF	SERBP1
TNF	PABPC1
TNF	SLC25A5
TNF	H1-2
TNF	HNRNPA2B1
TNF	HNRNPF
TNF	HNRNPU
TNF	DNAJA1
TNF	HSPA5
TNF	JAK1
TNF	KRT2
TNF	KRT8
TNF	KRT10
TNF	LGALS1
TNF	MAP1B
MYO1B	TNF
TNF	MYH9
TNF	MYL6
MYO1C	TNF
TNF	HNRNPM
TNF	NCL
NDUFA4	TNF
TNF	RPL10A
TNF	NPM1
TNF	PRDX1
TNF	PAWR
TNF	ATP5F1C
TNF	RPS27L
TNF	PKM
TNF	PLEC
TNF	KCTD5
TNF	PPP1R12C
TNF	NSUN2
TNF	PPP1CB
TNF	LRRC59
TNF	SCYL2
TNF	RCC2
TNF	WRNIP1
TNF	TWF1
TNF	ACTB
TNF	RPL3
TNF	RPL6
TNF	RPL7
TNF	RPL9
TNF	RPL11
TNF	RPL12
TNF	RPL15
TNF	RPL22
TNF	RPL27
TNF	RPL28
TNF	RPL34
TNF	RPL39
TNF	RPLP1
TNF	RPLP2
TNF	RPS3
TNF	RPS4X
TNF	RPS6
TNF	RPS10
TNF	RPS12
TNF	RPS17
TNF	RPS18
TNF	RPS19
TNF	RPS23
TNF	RPS24
TNF	RPS25
TNF	RPS27
TNF	RPS29
TNF	S100A4
TNF	S100A6
TNF	S100A10
TNF	SFPQ
TNF	SRSF3
TNF	SRSF6
TNF	SRSF7
TNF	SLC25A1
TNF	SNRPE
TNF	SRP14
TNF	SSBP1
SVIL	TNF
TNF	TCOF1
TNF	ACTC1
TNF	TPM4
TNF	TUFM
TNF	TXN
UGDH	TNF
TNF	VDAC2
TNF	SF1
TNF	CAPZA1
H2BC12	TNF
TNF	DYNLL1
BANF1	TNF
TNF	H1-10
TNF	TMEM263
TNF	LRRFIP2
TNF	G3BP2
TNF	MVP
RNF4	BCLAF1
RNF4	BCL2L1
BCAP31	RNF4
RNF4	BCAP29
BCAM	RNF4
RNF4	BAZ1B
BAG6	RNF4
RNF4	BAK1
B4GALT1	RNF4
AXL	RNF4
AXIN1	RNF4
RNF4	AUTS2
RNF4	AUP1
RNF4	ATXN2L
RNF4	ATXN2
ATRN	RNF4
RNF4	ATP6V1H
ATP6AP2	RNF4
RNF4	ATP6AP1
ATP5MF	RNF4
ATP5F1B	RNF4
RNF4	ATP2C1
ATP2B1	RNF4
ATP2A2	RNF4
ATP1B3	RNF4
ATP1B1	RNF4
ATP1A1	RNF4
ATN1	RNF4
RNF4	ATL3
RNF4	ATL2
RNF4	ATL1
ATF6	RNF4
ATF4	RNF4
RNF4	ASPH
RNF4	ARL8B
RNF4	ARL6IP6
ARL6IP5	RNF4
RNF4	ARL6IP1
ARL1	RNF4
RNF4	ARID5B
RNF4	ARID1B
RNF4	ARF5
AQR	RNF4
RNF4	APMAP
RNF4	AP3S1
AP3D1	RNF4
AP2S1	RNF4
AP2A2	RNF4
AP2A1	RNF4
RNF4	ANTXR1
RNF4	ANO10
RNF4	ANAPC4
RNF4	AMIGO2
RNF4	AMFR
RNF4	ALG9
RNF4	ALG5
ALDOA	RNF4
ALDH3A2	RNF4
RNF4	ALCAM
RNF4	AHNAK
RNF4	AHCTF1
RNF4	AGTRAP
AGPS	RNF4
RNF4	GPAT4
RNF4	AGPAT5
RNF4	AFG3L2
RNF4	ADPGK
RNF4	ADAM9
RNF4	ADAM17
ADAM10	RNF4
RNF4	ACVR1
ACTN4	RNF4
ACTN1	RNF4
ACTB	RNF4
RNF4	ACSL5
ACSL3	RNF4
ABLIM1	RNF4
RNF4	ABCF2
ABCD3	RNF4
ABCD1	RNF4
RNF4	ABCB10
RNF4	AAR2
RNF4	AAAS
OTULIN	SPATA2
BAG3	USP9X
PSMD14	GET3
PSMD14	UBL4A
PSMD14	GET4
PSMD14	USP15
PSMA7	ECPAS
PSMC3	ECPAS
ATXN3	BECN1
ERLIN2	TUBA1B
ATN1	BECN1
KLHL12	ARIH1
RAB1A	ARIH1
WRNIP1	ARIH1
KLHL9	ARIH1
OBSL1	ARIH1
AFDN	ARIH1
UBAP2L	ARIH1
POLE	ARIH1
KLHL22	ARIH1
FARSB	ARIH1
FBXO7	ARIH1
AP2A1	ARIH1
NMT1	ARIH1
ETF1	ARIH1
UPF3B	ARIH1
KLHDC10	ARIH1
SSBP3	ARIH1
KDM1A	ARIH1
BTBD1	ARIH1
TCERG1	ARIH1
FBXO11	ARIH1
IQGAP1	ARIH1
TFAM	ARIH1
DDX1	ARIH1
RBM26	ARIH1
UPF1	ARIH1
METTL8	ARIH1
PDE12	ARIH1
ELP3	ARIH1
SNX18	ARIH1
FOXK1	ARIH1
CTC1	ARIH1
VPS26A	ARIH1
ZYG11B	ARIH1
MTFMT	ARIH1
ACADVL	ARIH1
TXLNA	ARIH1
HBS1L	ARIH1
NISCH	ARIH1
CAV1	ARIH1
CFL2	ARIH1
PSMF1	ARIH1
CARD10	ARIH1
ZER1	ARIH1
PIM1	UBE2I
PIM1	BAD
APPBP2	ARIH1
BTBD10	ARIH1
BTBD2	ARIH1
FBXL17	ARIH1
FBH1	ARIH1
FBXO21	ARIH1
FBXO3	ARIH1
FBXO33	ARIH1
FEM1C	ARIH1
GNB4	ARIH1
ILF2	ARIH1
ARIH1	IPP
KLHL15	ARIH1
KLHL2	ARIH1
KLHL25	ARIH1
MICU2	ARIH1
NIPSNAP1	ARIH1
NSUN4	ARIH1
PDCD6	ARIH1
PRPH	ARIH1
RBX1	ARIH1
RCBTB1	ARIH1
SEC13	ARIH1
SEC31A	ARIH1
SKP1	ARIH1
ELOC	ARIH1
ELOB	ARIH1
VHL	ARIH1
ZSWIM6	ARIH1
CRY1	ARIH1
RXRA	HSPA9
RARB	HSPA9
CDKN1B	ARIH1
SFI1	RBPMS
IKZF1	NME7
HAUS1	HOOK2
RBPMS	TSG101
PSMC2	CDKN1A
TRIM27	REL
RBPMS	PATZ1
SMAD3	RBPMS
PICALM	RBPMS
TRIM27	ZNF384
VIM	TUBA1C
CTBP1	MAML2
UBE2K	ZNF384
PCM1	ABI1
CDK6	RBPMS
RBPMS	TCF7L2
SH3GLB2	SH3GLB2
DVL2	TLE5
DVL2	PRPF31
DVL2	PSMF1
TLE5	PSMF1
PSMF1	RBPMS
GRB2	LNX2
GOLGA2	GOLGA2
TRAF1	NTAQ1
DNM2	GOLGA2
DVL2	ZNF581
ZBTB16	TRAF1
DVL2	GRB2
PNMA1	PNMA1
DNM2	NTAQ1
NTAQ1	GMCL1
BCL6	GOLGA2
FANCG	GOLGA2
GOLGA2	TFIP11
HIP1	DVL2
CCNDBP1	PRPF31
TLE5	NTAQ1
PCM1	TFIP11
LSM3	TFIP11
FANCG	TLE5
UBE2I	TFCP2
DVL2	BCL6
DDIT3	PCM1
LNX2	ZNF581
KLHL12	CRTC3
LNX2	SH3GLB2
MCM7	RINT1
MCM7	RBPMS
GOLGA2	TRAF1
GOLGA2	GMCL1
PCM1	CCHCR1
DRAP1	LNX2
FANCG	TFIP11
DDX6	SIPA1L2
LASP1	RBPMS
SUPT5H	GOLGA2
LNX2	NTAQ1
LNX2	PSMF1
CDK4	LNX2
DVL2	GOLGA2
NTAQ1	NAGK
CTBP1	NTAQ1
ZNF410	PNMA1
PSME3	NTAQ1
PSMF1	MAGED1
GOLGA2	SH3GLB2
DVL2	ZNF410
LNX2	LGALS14
TRAF1	LNX2
DVL2	BEND7
RBPMS	POLR3GL
SFN	LNX2
CRK	LNX2
DVL2	AKAP9
NTAQ1	MIOS
WWP2	PSMF1
PNMA1	DAXX
LNX2	L3MBTL2
LNX2	TBC1D7
UBE2I	GMCL1
SUPT5H	TLE5
MCM7	TFIP11
DVL2	KLHL12
RBPMS	CHCHD7
CCT3	LNX2
RINT1	PRPF31
DNM2	DNM2
LNX2	MRFAP1L1
BCL6	TFIP11
CDK2	LNX2
MCM7	LNX2
PSMD5	LNX2
ZNF410	LNX2
SDCBP	DRAP1
BCAS2	TRAF1
LNX2	TIFA
CABP4	TLE5
GOLGA2	CCDC92
PPIH	XIAP
DVL2	TDP2
GLRX3	TLE5
TRAF1	ZBTB1
FANCG	ZBTB1
GLRX3	BCL6
CDKN2C	LNX2
LNX2	NAGK
TLE5	TNS2
POLR1C	TFIP11
RAB6B	COG6
CBS	NTAQ1
BAG4	TBC1D7
PCM1	RINT1
